No.,Video name,Uploader,Views (billions),Publication date
1,"""Baby Shark Dance""[4]",Pinkfong Baby Shark - Kids' Songs & Stories,12,2016-06-17
2,"""Despacito""[7]",Luis Fonsi,8.05,2017-01-12
3,"""Johny Johny Yes Papa""[14]",LooLoo Kids,6.57,2016-10-08
4,"""Bath Song""[15]",Cocomelon – Nursery Rhymes,5.89,2018-05-02
5,"""Shape of You""[16]",Ed Sheeran,5.88,2017-01-30
6,"""See You Again""[18]",Wiz Khalifa,5.74,2015-04-06
7,"""Phonics Song with Two Words""[23]",ChuChu TV,5.08,2014-03-06
8,"""Uptown Funk""[24]",Mark Ronson,4.79,2014-11-19
9,"""Wheels on the Bus""[25]",Cocomelon – Nursery Rhymes,4.77,2018-05-24
10,"""Learning Colors – Colorful Eggs on a Farm""[26]",Miroshka TV,4.76,2018-02-27
11,"""Gangnam Style""[27]",Psy,4.64,2012-07-15
12,"""Masha and the Bear – Recipe for Disaster""[32]",Get Movies,4.52,2012-01-31
13,"""Dame Tu Cosita""[33]",El Chombo,4.18,2018-04-05
14,"""Sugar""[34]",Maroon 5,3.8,2015-01-14
15,"""Roar""[35]",Katy Perry,3.7,2013-09-05
16,"""Counting Stars""[36]",OneRepublic,3.7,2013-05-31
17,"""Axel F""[37]",Crazy Frog,3.67,2009-06-16
18,"""Sorry""[38]",Justin Bieber,3.62,2015-10-22
19,"""Thinking Out Loud""[39]",Ed Sheeran,3.53,2014-10-07
20,"""Baa Baa Black Sheep""[40]",Cocomelon – Nursery Rhymes,3.46,2018-06-25
21,"""Dark Horse""[41]",Katy Perry,3.42,2014-02-20
22,"""Waka Waka (This Time for Africa)""[42]",Shakira,3.4,2010-06-04
23,"""Faded""[43]",Alan Walker,3.38,2015-12-03
24,"""Let Her Go""[44]",Passenger,3.36,2012-07-25
25,"""Girls Like You""[45]",Maroon 5,3.35,2018-05-31
26,"""Perfect""[46]",Ed Sheeran,3.33,2017-11-09
27,"""Bailando""[47]",Enrique Iglesias,3.31,2014-04-11
28,"""Lean On""[48]",Major Lazer,3.31,2015-03-22
29,"""Humpty the train on a fruits ride""[49]",Kiddiestv Hindi – Nursery Rhymes & Kids Songs,3.26,2018-01-26
30,"""Lakdi Ki Kathi""[50]",Jingle Toons,3.24,2018-06-14
